Cur_ID;Cur_Code;Cur_Abbreviation;Cur_Name_Bel;Date;Cur_Scale;Cur_OfficialRate
371;124;CAD;Канадскі долар;2022-01-30T00:00:00;1;2.075
394;414;KWD;Кувейцкі дынар;2022-01-30T00:00:00;1;8.6844
421;702;SGD;Сінгапурскі долар;2022-01-30T00:00:00;1;1.9463
426;756;CHF;Швейцарскі франк;2022-01-30T00:00:00;1;2.835
429;826;GBP;Фунт стэрлінгаў;2022-01-30T00:00:00;1;3.5305
431;840;USD;Долар ЗША;2022-01-30T00:00:00;1;2.6293
440;036;AUD;Аўстралійскі долар;2022-01-30T00:00:00;1;1.8648
441;975;BGN;Балгарскі леў;2022-01-30T00:00:00;1;1.505
448;554;NZD;Новазеландскі долар;2022-01-30T00:00:00;1;1.7415
449;980;UAH;Грыўня;2022-01-30T00:00:00;100;9.0694
450;208;DKK;Дацкая крона;2022-01-30T00:00:00;10;3.955
451;978;EUR;Еўра;2022-01-30T00:00:00;1;2.9482
452;985;PLN;Злоты;2022-01-30T00:00:00;10;6.4402
453;352;ISK;Ісландская крона;2022-01-30T00:00:00;100;2.0246
454;498;MDL;Малдаўскі лей;2022-01-30T00:00:00;10;1.4664
455;578;NOK;Нарвежская крона;2022-01-30T00:00:00;10;2.9362
456;643;RUB;Расійскі рубель;2022-01-30T00:00:00;100;3.3334
457;960;XDR;СДР (Спецыяльныя правы запазычвання);2022-01-30T00:00:00;1;3.6803
458;417;KGS;Сом;2022-01-30T00:00:00;100;3.0998
459;398;KZT;Тэнге;2022-01-30T00:00:00;1000;6.0534
460;949;TRY;Турэцкая ліра;2022-01-30T00:00:00;10;1.9313
461;364;IRR;Іранскі рыал;2022-01-30T00:00:00;100000;6.2602
462;156;CNY;Кітайскі юань;2022-01-30T00:00:00;10;4.1325
463;203;CZK;Чэшская крона;2022-01-30T00:00:00;100;12.0054
464;752;SEK;Шведская крона;2022-01-30T00:00:00;10;2.8155
508;392;JPY;Іена;2022-01-30T00:00:00;100;2.286
510;051;AMD;Армянскі драм;2022-01-30T00:00:00;1000;5.4465
